DATE TIME FRAC_DAYS_SINCE_JAN1 FRAC_HRS_SINCE_JAN1 JULIAN_DAYS ALARM_STATUS INST_STATUS CavityPressure CavityTemp species MPVPosition OutletValve solenoid_valves H2O2 H2O CH4 Spectrum_Score 
2017-02-22 19:03:34.586 52.46081698 1259.059607 53.46081698 0 963 1.0003959983E+02 4.4999055045E+01 6.6000000000E+01 0.0000000000E+00 5.1880790737E+04 0.0000000000E+00 3.7012052675E+00 1.8184550370E-03 1.0052857668E+01 3.5453415881E+00 
2017-02-22 19:03:37.637 52.46085228 1259.060455 53.46085228 0 963 1.0003903298E+02 4.4999070221E+01 6.5000000000E+01 0.0000000000E+00 5.1894429359E+04 0.0000000000E+00 3.3460347906E+00 1.8184550370E-03 1.0052857668E+01 3.8202602928E+00 
2017-02-22 19:03:40.691 52.46088764 1259.061303 53.46088764 0 963 1.0003907377E+02 4.4999320984E+01 6.6000000000E+01 0.0000000000E+00 5.1910036193E+04 0.0000000000E+00 3.3460347906E+00 1.8755478527E-03 1.0116408270E+01 3.8202602928E+00 
2017-02-22 19:03:43.740 52.46092293 1259.062150 53.46092293 0 963 1.0003807271E+02 4.4999208862E+01 6.5000000000E+01 0.0000000000E+00 5.1923958680E+04 0.0000000000E+00 2.4719612442E+00 1.8755478527E-03 1.0116408270E+01 3.6980562604E+00 
2017-02-22 19:03:46.792 52.46095825 1259.062998 53.46095825 0 963 1.0003774532E+02 4.4998985291E+01 6.6000000000E+01 0.0000000000E+00 5.1938495089E+04 0.0000000000E+00 2.4719612442E+00 1.8228455061E-03 1.0127365013E+01 3.6980562604E+00 
2017-02-22 19:03:49.845 52.46099359 1259.063846 53.46099359 0 963 1.0003740611E+02 4.4999088684E+01 6.5000000000E+01 0.0000000000E+00 5.1952986246E+04 0.0000000000E+00 3.5939382749E+00 1.8228455061E-03 1.0127365013E+01 3.4236533151E+00 
2017-02-22 19:03:52.898 52.46102892 1259.064694 53.46102892 0 963 1.0003457255E+02 4.4999198914E+01 6.6000000000E+01 0.0000000000E+00 5.1966594165E+04 0.0000000000E+00 3.5939382749E+00 1.8634023825E-03 9.9086550833E+00 3.4236533151E+00 
2017-02-22 19:03:55.947 52.46106420 1259.065541 53.46106420 0 963 1.0003704281E+02 4.4999243713E+01 6.5000000000E+01 0.0000000000E+00 5.1979755285E+04 0.0000000000E+00 2.9240545429E+00 1.8634023825E-03 9.9086550833E+00 3.7455994373E+00 
2017-02-22 19:03:58.999 52.46109953 1259.066389 53.46109953 0 963 1.0003644686E+02 4.4999282370E+01 6.6000000000E+01 0.0000000000E+00 5.1995164318E+04 0.0000000000E+00 2.9240545429E+00 1.8793012086E-03 1.0037165289E+01 3.7455994373E+00 
2017-02-22 19:04:02.048 52.46113481 1259.067236 53.46113481 0 963 1.0003662821E+02 4.4999565125E+01 6.5000000000E+01 0.0000000000E+00 5.2008632285E+04 0.0000000000E+00 2.8578409276E+00 1.8793012086E-03 1.0037165289E+01 3.5947530377E+00 
2017-02-22 19:04:05.105 52.46117020 1259.068085 53.46117020 0 963 1.0003671255E+02 4.4999682835E+01 6.6000000000E+01 0.0000000000E+00 5.2022398119E+04 0.0000000000E+00 2.8578409276E+00 1.7598269926E-03 9.9894339371E+00 3.5947530377E+00 
2017-02-22 19:04:08.153 52.46120547 1259.068931 53.46120547 0 963 1.0003597961E+02 4.4999730469E+01 6.5000000000E+01 0.0000000000E+00 5.2036487922E+04 0.0000000000E+00 2.8125264684E+00 1.7598269926E-03 9.9894339371E+00 3.8003353987E+00 
2017-02-22 19:04:11.206 52.46124081 1259.069779 53.46124081 0 963 1.0003726495E+02 4.4999778748E+01 6.6000000000E+01 0.0000000000E+00 5.2050314365E+04 0.0000000000E+00 2.8125264684E+00 1.7311794887E-03 1.0058089830E+01 3.8003353987E+00 
2017-02-22 19:04:14.253 52.46127609 1259.070626 53.46127609 0 963 1.0003570028E+02 4.4999841187E+01 6.5000000000E+01 0.0000000000E+00 5.2064004168E+04 0.0000000000E+00 3.4606940112E+00 1.7311794887E-03 1.0058089830E+01 3.2376185618E+00 
2017-02-22 19:04:17.305 52.46131141 1259.071474 53.46131141 0 963 1.0003697292E+02 4.4999961853E+01 6.6000000000E+01 0.0000000000E+00 5.2077676961E+04 0.0000000000E+00 3.4606940112E+00 1.8176384145E-03 1.0049754881E+01 3.2376185618E+00 
2017-02-22 19:04:20.354 52.46134669 1259.072321 53.46134669 0 963 1.0003525101E+02 4.4999850525E+01 6.5000000000E+01 0.0000000000E+00 5.2091015426E+04 0.0000000000E+00 3.8661647008E+00 1.8176384145E-03 1.0049754881E+01 3.4565549264E+00 
2017-02-22 19:04:23.407 52.46138203 1259.073169 53.46138203 0 963 1.0003321882E+02 4.4999778748E+01 6.6000000000E+01 0.0000000000E+00 5.2103639270E+04 0.0000000000E+00 3.8661647008E+00 1.6633423882E-03 1.0044611700E+01 3.4565549264E+00 
2017-02-22 19:04:26.454 52.46141730 1259.074015 53.46141730 0 963 1.0003474268E+02 4.4999778748E+01 6.5000000000E+01 0.0000000000E+00 5.2116901922E+04 0.0000000000E+00 3.2780147673E+00 1.6633423882E-03 1.0044611700E+01 3.4230048298E+00 
2017-02-22 19:04:29.506 52.46145263 1259.074863 53.46145263 0 963 1.0003334746E+02 4.4999754333E+01 6.6000000000E+01 0.0000000000E+00 5.2130232828E+04 0.0000000000E+00 3.2780147673E+00 1.6508024952E-03 9.9393864560E+00 3.4230048298E+00 
2017-02-22 19:04:32.555 52.46148792 1259.075710 53.46148792 0 963 1.0003354725E+02 4.4999579529E+01 6.5000000000E+01 0.0000000000E+00 5.2143245988E+04 0.0000000000E+00 3.8056177774E+00 1.6508024952E-03 9.9393864560E+00 3.6485971872E+00 
2017-02-22 19:04:35.608 52.46152324 1259.076558 53.46152324 0 963 1.0003499694E+02 4.4999809265E+01 6.6000000000E+01 0.0000000000E+00 5.2156027439E+04 0.0000000000E+00 3.8056177774E+00 1.6075074917E-03 9.9100993950E+00 3.6485971872E+00 
2017-02-22 19:04:38.657 52.46155853 1259.077405 53.46155853 0 963 1.0003345799E+02 4.4999763336E+01 6.5000000000E+01 0.0000000000E+00 5.2169050801E+04 0.0000000000E+00 3.3301465616E+00 1.6075074917E-03 9.9100993950E+00 3.4090999789E+00 
2017-02-22 19:04:41.709 52.46159385 1259.078253 53.46159385 0 963 1.0003261990E+02 4.4999595642E+01 6.6000000000E+01 0.0000000000E+00 5.2181341374E+04 0.0000000000E+00 3.3301465616E+00 1.4014130084E-03 9.9590765756E+00 3.4090999789E+00 
2017-02-22 19:04:44.756 52.46162913 1259.079099 53.46162913 0 963 1.0003335023E+02 4.4999580902E+01 6.5000000000E+01 0.0000000000E+00 5.2194120805E+04 0.0000000000E+00 3.3464359701E+00 1.4014130084E-03 9.9590765756E+00 3.3537444302E+00 
2017-02-22 19:04:47.809 52.46166447 1259.079947 53.46166447 0 963 1.0003044340E+02 4.4999565125E+01 6.6000000000E+01 0.0000000000E+00 5.2206297178E+04 0.0000000000E+00 3.3464359701E+00 1.5915154467E-03 9.9585536650E+00 3.3537444302E+00 
2017-02-22 19:04:50.858 52.46169975 1259.080794 53.46169975 0 963 1.0003113635E+02 4.4999656555E+01 6.5000000000E+01 0.0000000000E+00 5.2218576102E+04 0.0000000000E+00 3.4546240111E+00 1.5915154467E-03 9.9585536650E+00 3.6353737580E+00 
2017-02-22 19:04:53.910 52.46173507 1259.081642 53.46173507 0 963 1.0003199569E+02 4.4999687195E+01 6.6000000000E+01 0.0000000000E+00 5.2230425000E+04 0.0000000000E+00 3.4546240111E+00 1.4367567968E-03 9.9230586063E+00 3.6353737580E+00 
