DATE TIME FRAC_DAYS_SINCE_JAN1 FRAC_HRS_SINCE_JAN1 JULIAN_DAYS ALARM_STATUS INST_STATUS CavityPressure CavityTemp species MPVPosition OutletValve solenoid_valves H2O2 H2O CH4 Spectrum_Score 
2017-02-22 18:38:08.065 52.44314891 1258.635574 53.44314891 0 963 9.9959361168E+01 4.4999419006E+01 6.5000000000E+01 0.0000000000E+00 4.7588296086E+04 0.0000000000E+00 3.9349911167E+00 -9.4015462863E-04 -8.2409960451E-02 9.4477545283E-01 
2017-02-22 18:38:11.118 52.44318424 1258.636422 53.44318424 0 963 9.9931020558E+01 4.4999748230E+01 6.6000000000E+01 0.0000000000E+00 4.7566877647E+04 0.0000000000E+00 3.9349911167E+00 -1.0381391116E-03 -1.4019213183E-01 9.4477545283E-01 
2017-02-22 18:38:14.165 52.44321951 1258.637268 53.44321951 0 963 9.9959994240E+01 4.4999691315E+01 6.5000000000E+01 0.0000000000E+00 4.7558088711E+04 0.0000000000E+00 3.8529066455E+00 -1.0381391116E-03 -1.4019213183E-01 9.4256335551E-01 
2017-02-22 18:38:26.368 52.44336074 1258.640658 53.44336074 0 963 9.9979444374E+01 4.4999913879E+01 6.5000000000E+01 0.0000000000E+00 4.7512764250E+04 0.0000000000E+00 4.2849911416E+00 -1.0381391116E-03 -1.4019213183E-01 1.4311729025E+00 
2017-02-22 18:38:32.467 52.44343134 1258.642352 53.44343134 0 963 9.9982515129E+01 4.4999392792E+01 6.5000000000E+01 0.0000000000E+00 4.7502165195E+04 0.0000000000E+00 3.4467874711E+00 -1.0381391116E-03 -1.4019213183E-01 4.9854197110E-01 
2017-02-22 18:38:38.569 52.44350196 1258.644047 53.44350196 0 963 9.9971577141E+01 4.4999713104E+01 6.5000000000E+01 0.0000000000E+00 4.7477656949E+04 0.0000000000E+00 3.7809032739E+00 -1.0381391116E-03 -1.4019213183E-01 7.6591880299E-01 
2017-02-22 18:38:41.621 52.44353728 1258.644895 53.44353728 0 963 9.9985187857E+01 4.4999778748E+01 6.6000000000E+01 0.0000000000E+00 4.7466699793E+04 0.0000000000E+00 3.7809032739E+00 -9.8001283378E-04 -1.1924641473E-02 7.6591880299E-01 
2017-02-22 18:38:44.668 52.44357256 1258.645741 53.44357256 0 963 9.9962034981E+01 4.4999694885E+01 6.5000000000E+01 0.0000000000E+00 4.7453771293E+04 0.0000000000E+00 2.6815568011E+00 -9.8001283378E-04 -1.1924641473E-02 3.7936832213E-01 
2017-02-22 18:39:02.970 52.44378439 1258.650825 53.44378439 0 963 9.9953551292E+01 4.4999687195E+01 6.5000000000E+01 0.0000000000E+00 4.7341964914E+04 0.0000000000E+00 3.7278026051E+00 -9.8001283378E-04 -1.1924641473E-02 7.5098524999E-01 
2017-02-22 18:39:15.171 52.44392560 1258.654214 53.44392560 0 963 9.9978455399E+01 4.4999303528E+01 6.5000000000E+01 0.0000000000E+00 4.7307929379E+04 0.0000000000E+00 4.8866676853E+00 -9.8001283378E-04 -1.1924641473E-02 1.5281882013E+00 
2017-02-22 18:39:21.272 52.44399620 1258.655909 53.44399620 0 963 9.9995280106E+01 4.4999334473E+01 6.5000000000E+01 0.0000000000E+00 4.7305393043E+04 0.0000000000E+00 4.1878364288E+00 -9.8001283378E-04 -1.1924641473E-02 1.2891916191E+00 
2017-02-22 18:39:24.325 52.44403154 1258.656757 53.44403154 0 963 9.9997210039E+01 4.4999414280E+01 6.6000000000E+01 0.0000000000E+00 4.7302174107E+04 0.0000000000E+00 4.1878364288E+00 -8.3367918032E-04 1.7443283134E-02 1.2891916191E+00 
2017-02-22 18:39:33.473 52.44413742 1258.659298 53.44413742 0 963 9.9971998848E+01 4.4999111267E+01 6.5000000000E+01 0.0000000000E+00 4.7266591621E+04 0.0000000000E+00 2.6553277392E+00 -8.3367918032E-04 1.7443283134E-02 3.1059244787E-01 
2017-02-22 18:39:39.576 52.44420807 1258.660994 53.44420807 0 963 9.9962004402E+01 4.4999105530E+01 6.5000000000E+01 0.0000000000E+00 4.7238009484E+04 0.0000000000E+00 2.9439864215E+00 -8.3367918032E-04 1.7443283134E-02 7.3312645074E-01 
2017-02-22 18:39:45.678 52.44427869 1258.662689 53.44427869 0 963 9.9946599144E+01 4.4999361511E+01 6.5000000000E+01 0.0000000000E+00 4.7202582914E+04 0.0000000000E+00 2.5446385723E+00 -8.3367918032E-04 1.7443283134E-02 1.3257640452E-01 
2017-02-22 18:39:51.779 52.44434931 1258.664383 53.44434931 0 963 9.9941710007E+01 4.4999250061E+01 6.5000000000E+01 0.0000000000E+00 4.7162659832E+04 0.0000000000E+00 3.0504003734E+00 -8.3367918032E-04 1.7443283134E-02 2.6138605538E-01 
2017-02-22 18:40:34.497 52.44484373 1258.676249 53.44484373 0 963 9.9956636429E+01 4.4998436096E+01 6.5000000000E+01 0.0000000000E+00 4.7044046055E+04 0.0000000000E+00 3.0973365921E+00 -8.3367918032E-04 1.7443283134E-02 9.5833790019E-01 
2017-02-22 18:40:46.698 52.44498494 1258.679639 53.44498494 0 963 9.9948819969E+01 4.4998608948E+01 6.5000000000E+01 0.0000000000E+00 4.6967130887E+04 0.0000000000E+00 3.7338419493E+00 -8.3367918032E-04 1.7443283134E-02 1.2215068021E+00 
2017-02-22 18:41:05.000 52.44519677 1258.684722 53.44519677 0 963 1.0000681322E+02 4.4999302704E+01 6.5000000000E+01 0.0000000000E+00 4.6963296207E+04 0.0000000000E+00 3.8002420424E+00 -8.3367918032E-04 1.7443283134E-02 5.4388024726E-01 
2017-02-22 18:41:35.503 52.44554980 1258.693195 53.44554980 0 963 9.9959543694E+01 4.4998532410E+01 6.5000000000E+01 0.0000000000E+00 4.6827774449E+04 0.0000000000E+00 2.9855869981E+00 -8.3367918032E-04 1.7443283134E-02 4.4090669251E-01 
2017-02-22 18:41:44.654 52.44565573 1258.695737 53.44565573 0 963 9.9981127525E+01 4.4998924255E+01 6.6000000000E+01 0.0000000000E+00 4.6807666183E+04 0.0000000000E+00 2.9855869981E+00 -9.0866313994E-04 -1.3803720012E-01 9.1949047924E-01 
